due_time_L,due_time_H
[ 5.  0. 19. 16.  0.],[ 5. 19. 19.  0.  4.]
[ 0.  4.  0. 18.  0.],[5. 5. 0. 0. 0.]
[ 0. 19. 19.  0.  0.],[ 0  1 12 18  1]
[ 0.  4. 19.  4.  0.],[ 5. 17.  5.  0.  4.]
[0 9 6 0 0],[3. 9. 3. 0. 3.]
[ 1 12 19  0  0],[14.  4.  0.  0.  0.]
[19.  5. 19.  5.  0.],[ 4.  6. 17.  3.  0.]
[ 5.  8. 19.  0. 19.],[6. 0. 0. 0. 0.]
[ 7.  7. 19.  0. 19.],[0. 3. 0. 0. 0.]
[ 8.  5. 19.  0. 19.],[0. 0. 7. 1. 0.]
[ 0. 19. 19.  0.  0.],[0. 4. 0. 1. 0.]
[0. 4. 0. 4. 0.],[0. 0. 0. 0. 0.]
[ 6.  0. 19. 19.  0.],[7. 0. 0. 0. 0.]
[ 2.  5. 19. 19.  0.],[5. 8. 0. 5. 0.]
[ 5.  0. 19.  0. 19.],[13.  0.  0.  0.  0.]
[ 2. 19.  0.  1.  3.],[0. 0. 2. 0. 0.]
[ 4.  8. 19.  0.  2.],[ 8.  4. 10.  3.  0.]
[ 6 19  0  5  0],[ 3.  8. 19.  3.  0.]
[ 5 14  5 19 19],[2 8 3 1 8]
[ 6.  0. 19.  0. 19.],[7. 0. 0. 0. 0.]
[19.  0. 19.  0.  2.],[5. 3. 0. 0. 0.]
[ 5. 19.  6.  0.  6.],[ 5. 11.  0.  0.  0.]
[6. 0. 6. 0. 0.],[6. 0. 0. 4. 0.]
[ 1. 19.  0. 19.  0.],[0. 0. 0. 0. 0.]
[ 0.  5. 18.  0.  0.],[ 5. 17.  0.  1.  0.]
[ 7. 19.  5. 19.  0.],[4. 5. 0. 2. 0.]
[ 3.  8. 19.  3.  1.],[7. 2. 0. 0. 0.]
[ 7.  0.  0. 19.  0.],[3. 0. 0. 0. 0.]
[11. 13.  0. 19.  0.],[ 6. 19.  4.  1.  0.]
[ 6.  3.  0. 19.  0.],[0. 6. 0. 5. 0.]
