init_prod_time_L,init_prod_time_H
[13.  0.  0.],[0. 0. 1.]
[14. 11.  8.],[0. 1. 5.]
[12.  3.  0.],[0. 0. 0.]
[10. 13. 14.],[0. 0. 3.]
[14. 14.  0.],[0. 3. 0.]
[0. 3. 0.],[0. 0. 0.]
[11. 13.  1.],[0. 3. 1.]
[6. 0. 0.],[0. 0. 0.]
[11. 14. 11.],[3. 8. 0.]
[6. 0. 0.],[3. 0. 0.]
[ 3. 14. 13.],[3. 3. 0.]
[12. 14. 12.],[3. 6. 0.]
[14. 14. 14.],[3. 4. 0.]
[ 4.  0. 14.],[6. 0. 1.]
[ 5. 13.  0.],[4. 0. 0.]
[12.  0.  0.],[0. 6. 1.]
[ 8. 14. 14.],[4. 0. 0.]
[14. 14.  0.],[0. 0. 0.]
[ 6. 14. 12.],[0. 3. 0.]
[ 4.  0. 14.],[0. 0. 0.]
[ 9.  5. 14.],[0. 0. 0.]
[0. 0. 2.],[0. 0. 0.]
[14. 14. 14.],[0. 0. 1.]
[14. 10.  2.],[3. 0. 2.]
[14. 14. 14.],[4. 0. 0.]
[ 4.  0. 14.],[14.  2.  0.]
[14. 14.  0.],[3. 0. 0.]
[ 0 14 14],[2. 0. 1.]
[9. 4. 0.],[0. 3. 0.]
[12. 12.  0.],[4. 5. 0.]
