weight_L,weight_H
[ 8 13  2  5  7 14  6 11  4 15 12  3 10  9  1],[ 7  8  4  2 13  1  6 10  3  5 12 14  9 15 11]
[ 7 12 10  8 11  6 13  4  5 14  1  9  3 15  2],[ 1 10 15 11  6  2  4  8  7 14 12  9  3 13  5]
[13 15  3 14  1 10  7 11  8  9  6  5  4  2 12],[ 9 15  8  5  7 11  6 12  2  4  3 10 14 13  1]
[ 4 12  2 14  8 11 15  9  5 13  1  3  7  6 10],[ 1  3 14 10  8 13  5 11  2 12  6  4 15  7  9]
[12  7 13  4 14  5  8  9  3  2  6  1 11 15 10],[ 2 14  9  6 15 11  8 13  1  5 10  7  3 12  4]
[10  4  8  6  5 11  9  1  7  2 13  3 14 12 15],[14 11 15 13  4  5 12  1  3  8  6  9  2 10  7]
[10  1  7 14  3  5 15 11 13  8  9  4 12  2  6],[ 7  2 15 13  5  3  1  4  6 14 10 12 11  8  9]
[14  7  4  2  9  5  1  6 10 11 15 13 12  3  8],[ 8  6  9 12  1 11  7  5 15  2  4  3 13 10 14]
[10 11  3  1  8  9 15 13  7 14 12  4  5  6  2],[ 7  5  9 13 15  8  2 12  4 10  3  6  1 11 14]
[ 4  5 13  9  6 14  7 11  3  1  2 12 10 15  8],[14  6  7 13  9 10  2  3  8 11  1  5 15  4 12]
[ 8  7 11  1  3  2  4 10  5 12 14  9  6 15 13],[14  1  9  5 13  3 15 12  2  8  6  7  4 11 10]
[13  4  1  6  8 15  7  9 11 12  5 14  3 10  2],[ 5 13  8 15  4 10  1 14 11 12  2  3  9  7  6]
[ 2  6 15 13  5  9  3  4  8 10 14  7 11 12  1],[ 5 13  7 15  6 11  8  3  2  4 12 10  9 14  1]
[ 4 11  8 12 15  5 13  3 14  1  7  9  2 10  6],[10  1 14  9 12  6  8  3  2  5 11  7 15 13  4]
[ 7  5 13  1  8 14 11 10 15  3  9 12  2  4  6],[ 9 10 13 15 11 12  6  4  8  3  5  2  1 14  7]
[13  7 15  3 12  6 10  2 11  1  5  4 14  9  8],[ 7  4  5 12  3 13  6  2  8  9 15 10 11  1 14]
[ 5  4 12  3 11  2  1 14 10  7 13  6  9  8 15],[ 3 11 10 15  8  2  5  7  1  6 13  4 12  9 14]
[ 6 11 15  7  4  9 12  1 13 14 10  2  3  5  8],[13 10 11  2  8  7 15 12  5  6  1  4  3 14  9]
[ 9 15 14  3  7 10 13 11  1  6  5  4  8  2 12],[12  3 14  4 10  5  6  9  2  7 13  1 11  8 15]
[ 3  6 15  7  8 14 13 10  1  4  5  2 11  9 12],[13  5  4  9 12  6  8  2  7 10 11  3  1 14 15]
[10  5 12 11 15  9  2  4  7  3 14  8  6  1 13],[ 6 15 13  9  8 11  4 14 12  7  5  2 10  1  3]
[11  3 13 15  8  2  5 12  9  1 14  6  7  4 10],[ 7  3  9  2 13 10  1  8 11 12 15  5  4  6 14]
[ 4 12  5 11 10  7  9  2 13  1  3  8 15 14  6],[ 2 12  1  5  6  3 11  8  7  4  9 14 15 13 10]
[13  8 11 15 10  3 14  2  1  9  5 12  7  4  6],[ 7 10 12 11 13  9  3  4  1 14  5 15  6  2  8]
[ 7 13  9  1 15  3  5 14 10  2  8  6 11 12  4],[ 3 10  4 12  6  2  9  5 15  7  1 11  8 14 13]
[15  8 11  1  2 14  5  7 12 13  6  3  4 10  9],[ 2  6  9 14  3 12  1 11 10  8 13 15  7  4  5]
[15 11  5  8  6 12  9 10  1 14  7  4  2 13  3],[10  7 13 14  1 15  4 12  9  2  6  5  3  8 11]
[ 1  3 11 12  9 14 13  6 10  7  4  5 15  2  8],[15 13  3  2  4  6 14 12 11  5  8  7 10  9  1]
[14  2 13 11  5 12 10 15  4  3  7  8  1  9  6],[ 3  9 13  2 12 11  5  4  1 14 10 15  7  8  6]
[ 7 11  9 12 13  1  2 14  8  6  3 15 10  5  4],[ 1 13  9  4 10 11  3  6  2 14  8  7  5 15 12]
